title,description,category,department,priority
Exam schedule query - Main Campus,I need confirmation of the upcoming examination dates and reporting time. Location: Main Campus. Please guide me about this issue. This is a general request and there is no immediate deadline.,Academic,Academic Office,Low
Exam schedule query - Block A,"I need confirmation of the upcoming examination dates and reporting time. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. This is a general request and there is no immediate deadline.",Academic,Academic Office,Low
Exam schedule query - Library Wing,I need confirmation of the upcoming examination dates and reporting time. Location: Library Wing. This problem is affecting my university work. This is a general request and there is no immediate deadline.,Academic,Academic Office,Low
Exam schedule query - North Campus,I need confirmation of the upcoming examination dates and reporting time. Location: North Campus. The issue has happened repeatedly and needs attention. This is a general request and there is no immediate deadline.,Academic,Academic Office,Low
Exam schedule query - Student Center,I need confirmation of the upcoming examination dates and reporting time. Location: Student Center. Please assign the relevant team and provide an update. This is a general request and there is no immediate deadline.,Academic,Academic Office,Low
Course outline request - Main Campus,Please share the approved course outline and assessment breakdown. Location: Main Campus. Please guide me about this issue. This is a general request and there is no immediate deadline.,Academic,Academic Office,Low
Course outline request - Block A,"Please share the approved course outline and assessment breakdown. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. This is a general request and there is no immediate deadline.",Academic,Academic Office,Low
Course outline request - Library Wing,Please share the approved course outline and assessment breakdown. Location: Library Wing. This problem is affecting my university work. This is a general request and there is no immediate deadline.,Academic,Academic Office,Low
Course outline request - North Campus,Please share the approved course outline and assessment breakdown. Location: North Campus. The issue has happened repeatedly and needs attention. This is a general request and there is no immediate deadline.,Academic,Academic Office,Low
Course outline request - Student Center,Please share the approved course outline and assessment breakdown. Location: Student Center. Please assign the relevant team and provide an update. This is a general request and there is no immediate deadline.,Academic,Academic Office,Low
Transcript collection information - Main Campus,I want to know the procedure and office hours for transcript collection. Location: Main Campus. Please guide me about this issue. This is a general request and there is no immediate deadline.,Academic,Academic Office,Low
Transcript collection information - Block A,"I want to know the procedure and office hours for transcript collection. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. This is a general request and there is no immediate deadline.",Academic,Academic Office,Low
Transcript collection information - Library Wing,I want to know the procedure and office hours for transcript collection. Location: Library Wing. This problem is affecting my university work. This is a general request and there is no immediate deadline.,Academic,Academic Office,Low
Transcript collection information - North Campus,I want to know the procedure and office hours for transcript collection. Location: North Campus. The issue has happened repeatedly and needs attention. This is a general request and there is no immediate deadline.,Academic,Academic Office,Low
Transcript collection information - Student Center,I want to know the procedure and office hours for transcript collection. Location: Student Center. Please assign the relevant team and provide an update. This is a general request and there is no immediate deadline.,Academic,Academic Office,Low
Timetable clash - Main Campus,Two registered courses are scheduled at the same time in my timetable. Location: Main Campus. Please guide me about this issue. The issue is affecting normal student work; please resolve it soon.,Academic,Academic Office,Medium
Timetable clash - Block A,"Two registered courses are scheduled at the same time in my timetable. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. The issue is affecting normal student work; please resolve it soon.",Academic,Academic Office,Medium
Timetable clash - Library Wing,Two registered courses are scheduled at the same time in my timetable. Location: Library Wing. This problem is affecting my university work. The issue is affecting normal student work; please resolve it soon.,Academic,Academic Office,Medium
Timetable clash - North Campus,Two registered courses are scheduled at the same time in my timetable. Location: North Campus. The issue has happened repeatedly and needs attention. The issue is affecting normal student work; please resolve it soon.,Academic,Academic Office,Medium
Timetable clash - Student Center,Two registered courses are scheduled at the same time in my timetable. Location: Student Center. Please assign the relevant team and provide an update. The issue is affecting normal student work; please resolve it soon.,Academic,Academic Office,Medium
Attendance record correction - Main Campus,My attendance record is missing classes that I attended. Location: Main Campus. Please guide me about this issue. The issue is affecting normal student work; please resolve it soon.,Academic,Academic Office,Medium
Attendance record correction - Block A,"My attendance record is missing classes that I attended. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. The issue is affecting normal student work; please resolve it soon.",Academic,Academic Office,Medium
Attendance record correction - Library Wing,My attendance record is missing classes that I attended. Location: Library Wing. This problem is affecting my university work. The issue is affecting normal student work; please resolve it soon.,Academic,Academic Office,Medium
Attendance record correction - North Campus,My attendance record is missing classes that I attended. Location: North Campus. The issue has happened repeatedly and needs attention. The issue is affecting normal student work; please resolve it soon.,Academic,Academic Office,Medium
Attendance record correction - Student Center,My attendance record is missing classes that I attended. Location: Student Center. Please assign the relevant team and provide an update. The issue is affecting normal student work; please resolve it soon.,Academic,Academic Office,Medium
Grade correction request - Main Campus,The grade shown on my portal does not match the marked result. Location: Main Campus. Please guide me about this issue. The issue is affecting normal student work; please resolve it soon.,Academic,Academic Office,Medium
Grade correction request - Block A,"The grade shown on my portal does not match the marked result. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. The issue is affecting normal student work; please resolve it soon.",Academic,Academic Office,Medium
Grade correction request - Library Wing,The grade shown on my portal does not match the marked result. Location: Library Wing. This problem is affecting my university work. The issue is affecting normal student work; please resolve it soon.,Academic,Academic Office,Medium
